Name,Price,Discount,Final_rating,Number_of_ratings,5star,4star,3star,2star,1star,Brand,Genre,Sub-Genre,Publication_day,Publication_month,Publication_year,Operating_system,Sub_operating_system,Format,Platform,Other_features,Description,Description_bullets_num,Description_size
Madden 22: Standard - Steam PC [Online Game Code],59.99,0.0,3.8,27,12,5,2,2,4,Electronic Arts,Sports_and_outdoors_games,0,20,August,2021,Windows 10,0,0,PC,0,"Madden NFL 22 is where gameday happens.
All-new features in Franchise include staff management, an enhanced seasons engine, and weekly strategy.
Share avatar progress and player class between Face of The Franchise and The Yard.
For the first time ever in Ultimate Team, adjust Superstar X-Factors at halftime.",4,48
F1 2021: Deluxe - Steam PC [Online Game Code],75.0,0.0,4.4,7,3,2,1,0,0,Electronic Arts,Sports_games, Racing_games,13,July,2021,Windows 10,0,0,PC,0,"THE OFFICIAL VIDEOGAME OF THE 2021 FORMULA ONE WORLD CHAMPIONSHIP
'Braking Point’ – the thrilling new story experience.
New ways to play: two-player Career and ‘Real-Season Start’.
My Team mode - create a driver, choose a sponsor, an engine supplier, hire a teammate and compete as the 11th team on the grid.
Split-screen racing for two players.",5,57
Battlefield 2042 - PC,39.82,20.17,3.2,35,15,4,1,0,14,Electronic Arts,Shooter-action-game-genre,0,0,0,0,Windows XP,0,DVD-ROM,PC,0,"The next generation of all-out war is here.
Experience ever-changing battle conditions and gameplay challenges.
Unleash your combat creativity with weapons, vehicles and equipment inspired by the near-future of 2042.
Choose your role on the battlefield and form hand-tailored squads through the new Specialist system.",4,45
Mass Effect Legendary PC [Online Game Code],53.99,6.01,4.5,38,29,3,1,0,3,Electronic Arts,Action_games, Strategy_games,14,May,2021,Windows 10,0,0,PC,0,"One person is all that stands between humanity and the greatest threat it’s ever faced.
Relive the legend of Commander Shepard in the highly acclaimed Mass Effect trilogy with the Mass Effect Legendary Edition.
Includes single-player base content and over 40 DLC from Mass Effect, Mass Effect 2, and Mass Effect 3, including promo weapons, armors, and packs - remastered and optimized for 4k Ultra HD.",3,66
Tom Clancy’s The Division 2 Standard - PC [Online Game Code],29.99,0.0,4.0,7,4,1,0,0,1,Ubisoft,Action_games, Shooter_action_games,1,April,2021,Windows 8, Windows 7,0,PC,0,"Tom Clancy’s The Division 2 is an online action-shooter RPG experience, where exploration and player progression are essential.
Save a country on the brink of collapse as you explore an open, dynamic, and hostile world in Washington, DC.
Fight together with your friends in online co-op or against others in competitive PvP.
Choose a unique class specialization to take on the toughest challenges with friends in a genre-defining endgame.",4,69
It Takes Two Standard - PC [Online Game Code],40.0,0.0,4.0,17,12,0,0,0,4,Electronic Arts,Action_games, Strategy_games,26,March,2021,Windows 10,0,0,PC,0,"Invite a friend to join for free with friend's Pass, and experience a thrilling adventure built purely for two. Choose from couch or online co-op with split-screen play, and face ever-changing challenges where working together is the only way forward.
Gleefully disruptive gameplay - from rampaging Vacuum cleaners to suave love gurus - With it takes two, you never know what you're up against next.
Discover a touching and heartfelt story of the challenges in getting along. Help cody and may learn how to overcome their differences.",3,87
Apex Legends: Champion - PC [Online Game Code],39.99,0.0,4.5,89,64,12,8,0,4,Electronic Arts,Shooter_action_games,0,10,November,2020,Windows 10,0,0,PC,0,"Includes 9 character unlocks (all Legends through Season 7):
Caustic, Mirage, Octane, Wattson, Crypto, Revenant, Loba, Rampart, and Horizon
7 Exclusive Legendary items
1,000 Apex Coins",4,26
Command and Conquer Remastered - Steam PC [Online Game Code},19.99,0.0,4.5,263,199,28,15,2,13,Electronic Arts,Strategy_games,0,5,June,2020,Windows 10,0,0,PC,0,"The historic real-time strategy experience that defined the genre for the last 25 years.
Authentic graphics that remain true to the spirit of C&C but are updated to modern standards.
Switch in real-time between legacy and 4K  remastered graphics when in solo play.
More than 100 campaign missions and more than 250 multiplayer maps.",4,54
The Sims 4 Dream Home Decorator - PC [Online Game Code],18.98,1.02,4.7,193,152,23,11,0,3,Electronic Arts,Adventure_games, Strategy_games,1,June,2021,Windows 10,0,0,PC,0,"KNOW YOUR CLIENTS - Each job requires a personalized touch. It’s not just about a client’s needs, but also their preferences and their budget.
RENOVATE, REDECORATE, REMODEL - Whether it’s revamping a single room, redoing an entire lot, or refurbishing a commercial space, your goal is to make your clients happy.
THE BIG REVEAL - When you finish the project, show it off. Hopefully, your work inspires happy crying instead of tears of disappointment.",3,74
Final Fantasy XIV: EndWalker Digital Collector's - PC [Online Game Code],59.99,0.0,3.4,14,7,0,1,0,4,Square Enix,Role_playing_games,0,7,December,2021,Windows 8.1, Windows 10,0,PC,0,"Dive into the next chapter of the critically acclaimed FINAL FANTASY XIV Online with the latest expansion pack—ENDWALKER! The Digital Collector's Edition also contains bonus in-game items to aid you in your adventures.
New jobs: Sage and Reaper
Level cap increase from 80 to 90
New cities: Old Sharlayan and Radz-at-Han
...and more!",5,53
