,Unnamed: 0,Name,Price,Discount,Worthy,Final_rating,Number_of_ratings,5star,4star,3star,2star,1star,Brand,Genre,Sub-Genre,Publication_day,Publication_month,Publication_year,Operating_system,Sub_operating_system,Format,Platform,Other_features,Description,Description_bullets_num,Description_size
0,202,Sid Meier’s Civilization VI Platinum - [PC Online Game Code],-1.0,-1.0,1,4.3,154,101,24,10,6,12,6,4,0,4,10,2019,5,0,0,1,0,"The package includes Sid Meier's Civilization VI, six DLC packs as well as the Rise and Fall and Gathering Storm expansions.
The perfect entry point for PC gamers who have yet to experience the addictive gameplay that has made Civilization one of the greatest game series of all time.",2,49
1,204,Wolfenstein: The Two-Pack - PC,-1.0,-1.0,1,4.2,52,31,9,4,2,4,12,1,0,0,0,0,4,0,2,1,0,"Assume the role of super soldier BJ Blazkowicz as he uses elite combat tactics and an arsenal of uber advanced weaponry to take down the most powerful empire the world has ever known
Join forces with a Band of resistance fighters and launch an offensive battle that spans the globe and beyond, as you seek to uncover the truth behind how this Regime conquered the world so quickly
Take on massive mechs, super soldiers, and an army of seemingly unstoppable might as you fight to free the planet from a nightmare of unimaginable tyranny
Arm yourself with new weapons such as bolt-action rifle & grenade-launching Kampfpistole to thwart the Nazi war machine. Take advantage of duel-wielding pipes for wall climbing & vicious take-downs
Standalone prequel to the critically acclaimed first-person action-adventure shooter, Wolfenstein: The New Order",5,136
2,205,The Sims 4 - Seasons [Online Game Code],-1.0,-1.0,1,4.8,1426,1240,114,42,14,28,0,7,0,22,6,2018,5,0,0,1,0,"Order The Sims 4 Seasons PC [Online Game Code] by January 5, 2021 to receive The Sims 4 - PC [Online Game Code] base game at no additional cost. Must be shipped and sold by Amazon. Codes will be sent within 24 hours of purchase
Add weather to your Sims' lives to tell new stories, enjoy seasonal activities, and celebrate heartfelt holidays
Make the most out of weather all year round, from crisp snowfalls to sweltering heat
Gather friends and family to celebrate holidays complete with traditions, gifts, and special guests",4,91
3,206,"Otome Game""Midnight Library""Prologue [Download]",-1.0,-1.0,0,3.1,9,1,2,0,3,1,112,2,0,11,12,2013,1,1,0,1,0,"All text written in Japanese
Women Love adventure game
""OTOME GAME""",3,11
4,207,PGA Tour 2K21 Standard - PC [Online Game Code],-1.0,-1.0,0,3.9,102,59,14,4,5,19,6,9,0,21,8,2020,5,0,0,1,0,"ALL-NEW PGA TOUR CAREER MODE Prove you’ve got what it takes to become FedExCup Champion. Take on PGA TOUR Pros during your very own career, earning rewards and gear along the way.
PGA TOUR PROS AND NEW COURSES Play against Justin Thomas and 11 top pros on stunning, real-life courses including TPC Sawgrass, East Lake Golf Club, and more.
BUILD YOUR MYPLAYER & DREAM COURSE Create and personalize your MyPLAYER with equipment and apparel from brands you love. Design your ultimate course with 1,000s of custom options.
DOMINATE THE GREEN AT ANY SKILL LEVEL Rookies can take advantage of real-time tutorials, tips and shot suggestions. Already a pro? Master your game with Pro Vision, Distance Control, Putt Preview, and other innovations.",4,121
5,209,Lord Of The Rings Online [Download],-1.0,-1.0,0,3.6,209,114,18,14,4,58,112,2,0,23,8,2013,7,0,0,1,0,"Explore the Massive World of Middle-earth
Create & Advance Your Hero
Solo & Co-op Skirmishes
Legendary Items, Play as a Monster, & Craft Your Own Gear
Free Online Play",5,29
6,212,Space Blaster (Bailter Ray) [Download],-1.0,-1.0,0,3.4,31,10,4,7,4,4,112,1,0,25,2,2014,1,1,0,1,0,"An original Indie developed game
2.5D ""side scrolling"" platform, adventure shooter
Difficult Puzzles
Exploding enemy robots
Plants that shoot goo",5,20
8,219,Dungeons and Dragons Online [Download],-1.0,-1.0,0,3.0,223,82,20,26,8,84,112,2,0,23,8,2013,7,0,0,1,0,"Experience the Best Action Combat of Any Free MMORPG
Play for Free
Exciting Adventures with Iconic D&D Monsters
Adventure alone or with friends from all over the world
Create a Unique Hero, A Rich & Beautiful World",5,37
9,221,Witches Legacy LAIR OF THE WITCH QUEEN + HUNTER & THE HUNTED Hidden Object PC Game,-1.0,-1.0,1,4.1,35,18,9,4,0,3,2,4,0,0,0,0,2,12,2,1,0,"Witches’ Legacy 2 Game Pack Lair of the Witch Queen, Hunter and the Hunted Hidden Object Adventure
Enjoy hours of Hidden Object fun and adventure with these 2 highly rated games.",2,31
10,223,Air Warrior Flight Simulator (version 1.5),-1.0,-1.0,0,3.0,1,0,0,1,0,0,76,14,0,0,0,0,17,0,1,1,0,"flight simulator
air warrior",2,4
