Name,Price,Discount,Final_rating,Number_of_ratings,5star,4star,3star,2star,1star,Brand,Genre,Sub-Genre,Publication_day,Publication_month,Publication_year,Operating_system,Sub_operating_system,Format,Platform,Other_features,Description,Description_bullets_num,Description_size
World of Warcraft: Battle for Azeroth - Digital Deluxe [Online Game Code],69.99,0.0,4.5,66,47,9,5,0,3,Blizzard Entertainment,Role_playing_games,0,13,August,2018,Windows 8.1, Windows Vista,0,PC,0,"Enter a world divided
Recruit Allied races
Plunder Uncharted islands
Storm the warfronts
Includes level 110 character Boost
World of Warcraft:Battle for Azeroth servers will go live August 13, 2018 at 3:00PM PDT",6,33
Christmas Celebration - Hidden Object Game [Download],1.99,0.0,5.0,1,1,0,0,0,0,Big Leap Studios PVT. LTD.,Puzzle_games,0,18,November,2013,Windows Vista, Windows XP,0,PC,0,"10 Fun Levels
Pinch to Zoom
40 Objects Per Level
400 Hidden Objects to Find
Level Map will Save Progress",5,20
Delta Force 10th Anniversary Collection - PC,-1.0,-1.0,4.2,29,19,2,2,2,2,Novalogic,Fighting_action_games,0,0,0,0,Pc,0,DVD-ROM,Pc,0,"Delta Force, Delta Force 2
Delta Force Land Warrior
Delta Force Task Force Dagger
Delta Force Black Hawk Down
Delta Force Black Hawk Down Team Sabre",5,26
Far Cry New Dawn - Deluxe- [Online Game Code],49.99,0.0,3.7,17,9,0,3,1,2,Ubisoft,Shooter_action_games,0,15,February,2019,Windows,0,0,PC,0,"The Deluxe Edition includes additional weapons, outfits, and vehicle skins to help you survive a new dangerous frontier.
Fight to survive in a post-apocalyptic world as you take up arms to fight alongside a friend in online co-op.
Lead the fight against the highwaymen and their ruthless leaders, the Twins.
Build up your home base and recruit specialists to upgrade it as you unlock all-new features.
Battle your enemies for resources in Hope County and around the country as you venture to new locations.",5,84
Delaware St John: The Seacliff Tragedy - PC,8.69,0.0,3.4,17,7,1,2,0,5,ValuSoft,Action Games,0,0,0,0,Windows ME, Windows XP,CD-ROM,Pc,0,"Multiple characters to be played, either as psychic detective Delaware St. John or his partner Kelly Bradford.
Investigate the remains of a haunted amusement park in beautiful rendered environments.
Use the VIC (Voice/Imagery Communicator) to take pictures, record sounds and contact your assistant, Simon, for clues.
Solve mysteries as you discover that the ghostly residents aren't the only ones who know about what happened at the park.
Face your deepest fears as you face pure evil lurking in the shadows, outrun and outwit the creatures if you're to survive the night.",5,91
Lord of the Rings: War in the North,-1.0,-1.0,3.8,59,30,5,10,4,8,WB Games,Role_playing_games,0,0,0,0,Windows Vista, Windows XP,DVD-ROM,PC,0,0,0,0
My Aquarium - Hidden Object Game [Download],1.99,0.0,3.9,15,6,1,4,1,0,Big Leap Studios PVT. LTD.,Puzzle_games,0,21,November,2014,Windows Vista, Windows XP,0,PC,0,"10 Fun Levels
40 Objects Per Level
400 Hidden Objects to Find
100 Achievements to Unlock and Stars to Earn",4,20
My Aquarium - Hidden Object Game [Download],1.99,0.0,3.9,15,6,1,4,1,0,Big Leap Studios PVT. LTD.,Puzzle_games,0,21,November,2014,Windows Vista, Windows XP,0,PC,0,"10 Fun Levels
40 Objects Per Level
400 Hidden Objects to Find
100 Achievements to Unlock and Stars to Earn",4,20
Stealth Bastard Deluxe: The Teleporter Chambers [Online Game Code],2.99,0.0,3.7,2,0,1,0,0,0,Curve Digital Publishing,Action_games,0,14,March,2013,0,0,0,PC,0,"80 sneaktastic levels
Real-time light and shadow system
Fully-featured level creator
Five types of special equipment
Worldwide leaderboards",5,18
"Everything Epic Games Rambo The Board Game: First Blood, Black",-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,Everything Epic Games,Thematic,0,0,0,0,0,0,0,0,TV & Movies,"
Make sure this fits by entering your model number.
Make sure this fits by entering your model number.
by entering your model number.
The year is 1981, and you’re John Rambo, just returned home from Vietnam to a country you don’t recognize. You wander into the wrong town just looking for something to eat and now you’re fighting for your life!
become Rambo and make all the critical choices and alter the outcomes of your favorite 80’s action movie, First Blood!
This is a solo narrative game experience unlike any you’ve ever played before!
This game is fully dice-less, so it's all about the narrative story and your tactical choices in this ""Choose your own adventure-like game""
1 Player/60-90 Minutes/Ages 14+",9,121
Trine 4: The Nightmare Prince (PC) - PC,9.22,0.0,4.4,263,168,52,23,7,10,Modus,Adventure-game-genre,0,0,0,0,Windows Vista, Windows 8,DVD-ROM,PC,0,"Gorgeous 2.5D landscapes - Explore uniquely designed levels in beautiful, 2.5 dimensions, from breathtaking ruins and haunted tombs to tranquil birch groves and blueberry forests
Local and online multiplayer - Play with up to 4 players online or in local co-op
Captivating storytelling - Follow the story of a haunted prince as you journey through magical fairytale landscapes inhabited by friendly creatures, as well as a host of nightmarish foes
Dynamic puzzle-solving - Solve puzzles - solo or with friends - that feature fire, air, light, magnets, electricity and more, with challenges tailored to the number of players",4,98
Leder Games | Root: The Underworld Expansion,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,Leder Games,Wargame, Strategy,0,0,0,0,0,0,0,Science Fiction,"
Make sure this fits by entering your model number.
Make sure this fits by entering your model number.
by entering your model number.
Delve deeper into the world of Root with the Underworld Expansion, which adds two new factions and a new board to your Root game!
You will need the Root base game to play this expansion.
1-6 players, ages 10+
60-90 minute playing time",8,66
NBA 2K16 - PC [Digital Code] [Online Game Code],59.99,0.0,4.1,61,37,8,4,4,4,2K,Sports_games,0,25,September,2015,Windows 8, Windows 7,0,PC,0,"MyCAREER - A SPIKE LEE JOINT: Our most intense first-person narrative to date, written and directed by Spike Lee. For the first time, manage your off days and earn bonus content through connections, endorsements and a live practice environment.
2K Pro-Am: A groundbreaking new mode featuring fully customizable teams and 5v5 tournaments livestreamed on NBA 2KTV. Join forces with friends to create the perfect squad all the way down to custom logos, uniforms & arenas, or walk on and join any open game.
ENHANCED GAMEPLAY: A new motion engine generates smarter, hyper-realistic movement plus new ball & rim physics and player collisions, leading to a more intense and authentic on-court experience.
PLAY NOW ONLINE: This year, online head-to-head games matter. For the first time, your online head-to-head record will determine whether or not you advance to higher levels. As you level up, you’ll unlock some of the greatest teams from NBA history to use in your games.
FEATURED DJs: DJ Khaled, DJ Mustard and DJ Premier produce our biggest soundtrack to date, featuring 50 dynamic tracks across 5 playlists and exclusive cuts from each DJ.
PLAY WITH MODERN LEGENDS: Step onto the court with 12 new legendary teams, including some of the most epic squads from the past 15 years.
MyPARK: Break ankles, drop dimes and create a street legacy at one of three newly enhanced parks. Show off your game to the world in new live-streamed competitive events.",7,239
AION Classic: QUNA 400 - PC [Online Game Code],10.0,0.0,-1.0,-1,-1,-1,-1,-1,-1,NCSOFT,Role_playing_games, Adventure_games,23,June,2021,Windows 8.1, Windows 7,0,PC,0,"Aion Classic currency
For use in the in-game shop
Can be used for Daeva Pass to get exclusive daily, weekly, and seasonal quests and rewards
Can be used for Daeva Pass to get exclusive daily, weekly, and seasonal quests and rewards
Can be used for in-game packs and character boosts",5,50
Game of Thrones: The Trivia Game - Seasons 5-8 Expansion,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,Fantasy Flight Games,Trivia,0,0,0,0,0,0,0,0,4.5 x 4 x 3 inches,"
Make sure this fits by entering your model number.
Make sure this fits by entering your model number.
by entering your model number.
A new expansion to complete your Game of Thrones: The Trivia Game collection
Over 1, 200 new questions keep your challenges fresh and your wits sharp
Ability to add fifth player adds new opportunities for alliances and betrayals
New iconic characters from the show bring powerful new abilities if you can earn their favor
Number of players: 2 to 5",9,83
Spore Creepy and Cute Parts Pack - PC/Mac,-1.0,-1.0,4.2,119,76,20,7,2,11,Electronic Arts,Adventure-game-genre, Simulation_games,0,0,0,Mac OS X, Mac OS X 10.4 Tiger,CD-ROM,"PC, Mac",0,"Expand your creature creativity, with over 100 new Creepy & Cute items
60 new creature parts - senses, graspers, feet, mouths, limbs
48 new paint styles - make monstrous beasts or cutesy critters
24 new creature test drive animations - moonwalk, 'the robot', zombie walk, break dancing and much more
Requires Spore or Spore Creature Creator to play",5,58
Diablo 3 /PC,-1.0,-1.0,2.9,9,3,0,0,0,4,Blizzard Entertainment,Role-playing-games,0,15,May,2012,0,0,Unknown format,"Pc, Windows XP",0,"Diablo III was built from the ground up to leverage the full functionality of the Battle.net platform, which delivers powerful matchmaking and communication tools, allowing adventurers to seamlessly join forces for exciting cooperative play. Battle.net also provides a secure infrastructure for the Diablo IIIauction house, a feature-rich marketplace that Sanctuary's heroes can use to trade their hard-earned treasures. Players will be able to buy and sell weapons, armor, and other valuable items in the auction house in exchange for in-game gold. Players will also have the option to receive real-world currency for auction house sales, which they can apply to their Battle.net Balance for the purchase of a variety of digital products through Battle.net, including Diablo III auction house items, or cash out through a third-party payment service such as PayPal in most regions.",1,134
Star Wars Knights of the Old Republic - PC,-1.0,-1.0,4.6,410,336,32,20,8,12,LucasArts,Adventure Games, Action-game-genre,18,November,2003,Windows ME, Windows XP,0,Pc,0,"A massive conflict between Jedi & Sith has left the Republic weakened. Into this chaos steps a young Jedi on a mission. His mission will determine the outcome of this colossal galactic war - and your destiny as a Jedi
Lead your group of freedom fighters across the galaxy -- you can choose from humans, droids, Twi'leks, Wookies and more
Recruit other to your cause & train them in exciting mini-games like racing swoop bikes or manning turret guns
Travel to ten unique world in the Star Wars galaxy, from the Jedi Academy on Dantooine to the Sith homeworld of Korriban
Customizable and evolving characters keep the story fresh and the gameplay interesting -- especially when you have to choose between the Light & Dark Sides of The Force",5,129
Darkness and Flame: Born of Fire Collector's Edition [Download],19.9,0.0,3.6,20,6,4,4,0,3,ScreenSeven,Seek_and_find_games,0,9,September,2016,Windows 8.1, Windows 8,0,PC,0,"An unforgettable Hidden Object adventure
Fantastic locations and gorgeous graphics
Exciting minigames and mind-bending puzzles
Bonus chapter with tons of additional puzzles and Hidden Object scenes, collect morphing objects and special achievements, and enjoy bonus puzzles, minigames, wallpapers, video clips and more great extras",4,44
CSI: Crime Scene Investigation - PC,-1.0,-1.0,3.8,77,33,20,8,5,10,Ubisoft,Adventure-game-genre,0,25,March,2003,Windows ME, Windows XP,0,Pc,0,"Travel through the dark, seedy side of Las Vegas, as you work alongside Grissom, Catherine and the rest of the CSI team in this thrilling first-person adventure
Put your thinking skills to the test as you question witnesses and examine crime scenes
Analyze evidence you collect utilizing the latest in forensic equipment
Five crimes to investigate and solve
Realistic crime scenes and voiceovers by actual cast members -- you'll feel like you're in an actual episode of CSI!",5,78
Cartoon Network Universe: Fusion Fall - PC,22.94,0.0,4.1,34,20,7,0,2,4,Majesco,Online_computer_and_video_games,0,0,0,0,Windows Vista, Windows XP,CD-ROM,PC,0,"First triple a browser based MMORPG for kids
More than 60 playable zones
create your own avatar for online adventure
Beat 50 evil fusion boss characters to earn nanos characters with special powers
An epic adventure with more than 50 characters from Cartoon Networks most popular shows",5,47
Cate West Vanishing Files - PC,-1.0,-1.0,3.7,7,3,1,0,0,1,Topics Entertainment,Adventure_games,0,0,0,0,Windows Vista, Windows XP,CD-ROM,PC,0,"Unlimited Play
75 Challenging Levels
5-Part Cases
Original Storyline
Multiple Unlockable Endings",5,12
Escape the Emerald Star - PC/Mac,-1.0,-1.0,4.7,125,105,8,3,3,3,PopCap Games,Adventure-game-genre,0,0,0,0,Windows 7;Windows Vista;Windows XPMac OS X,0,CD-ROM,PCMac,0,"Find over 2,200 cleverly hidden objects
Explore 25 mysterious shipboard scenes
Play three fun game modes: Escape the Emerald Star, Unlimited Seek & Find and a bonus game
Solve 7 unique mini-games including Mahjong
Locate 50 hidden anchors to unlock two bonus games",5,43
Star Wars Galaxies: The Complete Online Adventures - PC,-1.0,-1.0,4.0,103,60,8,17,8,8,LucasArts,Role Playing Games,0,14,November,2006,Windows XP, Windows 2000,0,Pc,0,"In addition to the unlimited exciting game play, The Complete Online Adventures includes a DVD of never-before released bonus features
A slide show of more than 800 pieces of Star Wars Galaxies concept art and screenshots, all set to more than an hour of beautifully orchestrated Star Wars Galaxies in-game music
Excerpts from the popular “From Pencil to Pixel” book that chronicles the art of Star Wars Galaxies
An exclusive in-game item for use while playing – a personal AT-RT vehicle as seen in Star Wars: Episode III Revenge of the Sith™
Interviews with the Star Wars Galaxies producers, and all the cinematic trailers for the game",5,107
WarZone 2100 - PC,-1.0,-1.0,4.3,20,12,3,5,0,0,Square Enix,Real_time_strategy_games,0,0,0,0,Windows ME, Windows 95,CD-ROM,Pc,0,0,0,0
Battle Worlds: Kronos [Online Game Code],19.99,0.0,-1.0,-1,-1,-1,-1,-1,-1,THQ Nordic,Turn_based_strategy_games,0,4,November,2013,OS X 10.9 Maverick, OS X 10.8 Mountain Lion,0,PC,0,"You can download your game or software order an unlimited number of times for personal use.
Please check the system requirements to verify this game works with your computer and/or operating system before purchase.
You can also shop for digital games on your mobile device.",3,45
Batman: Arkham Knight - Windows Standard Edition,-1.0,-1.0,4.5,162,124,16,9,6,6,WB Games,Shooter-action-game-genre,0,0,0,0,Windows Vista, Windows XP,DVD-ROM,PC,0,"The Batmobile: Gamers have demanded it, and Batman: Arkham Knight delivers. The all new Batmobile sits at the heart of the gameplay experience and augments Batman's abilities in every respect.
Next-Gen Gotham City: Harnessing the power of the next generation of games systems, the entirety of Gotham City has been created in immense scale and with intimate detail offering players a truly legendary next-gen game world.
The Epic Conclusion to a Legendary Trilogy: Rocksteady Studios returns to the helm of the multi-award winning franchise. Scarecrow is back to wreak his revenge against Batman joined by a completely new and original character, the Arkham Knight.
Be The Batman: Batman, the Batmobile, the entirety of Gotham City. Batman: Arkham Knight is the complete and ultimate Batman offering.",4,125
Ranch Rush - PC,-1.0,-1.0,3.7,61,34,4,3,3,14,Mumbo Jumbo,Adventure_games,0,0,0,0,Windows Vista, Windows XP,CD-ROM,PC,0,"Turn around 3 acres into a thriving Ranch
Harvest and produce
Get cool upgrades
Time management gameplay
Great graphics and music",5,21
Plantasia - PC,14.95,0.0,4.2,24,14,5,0,1,2,Brighter Minds,Puzzle Games,0,0,0,0,Windows XP,0,CD-ROM,Pc,0,"Easier than your garden at home - 50 levels of lush gardening fun!
Over 35 types of plants, each with different vibrant blooms
5 garden types, including Rose Garden and Moon Garden
Multiple emotional states for each plant, from sad to joyous.
Play in two modes: Holly's Story or Garden Challenge",5,51
Capitalism 2 (Jewel Case) - PC,14.99,0.0,3.8,31,16,6,0,2,5,IGS,Strategy Games,0,0,0,0,Windows ME, Windows XP,CD-ROM,Pc,0,"In-depth strategy game covering almost every aspect of real-world business
Develop your own technology or acquire it from another company
Choose from over 60 product types to manufacture and market
Vivid 3D graphics show off a bustling city environment
New multiplayer game for up to 7 players",5,47
Capitalism 2 (Jewel Case) - PC,14.99,0.0,3.8,31,16,6,0,2,5,IGS,Strategy Games,0,0,0,0,Windows ME, Windows XP,CD-ROM,Pc,0,"In-depth strategy game covering almost every aspect of real-world business
Develop your own technology or acquire it from another company
Choose from over 60 product types to manufacture and market
Vivid 3D graphics show off a bustling city environment
New multiplayer game for up to 7 players",5,47
